Section,Period,DO,Metric,Value
PSU Commissioning,Apr-Aug'26,Udaipur,%IOC Comm RO,37.5
PSU Commissioning,Apr-Aug'26,Udaipur,%IOC Comm KSK,50.0
PSU Commissioning,Apr-Aug'26,Udaipur,%IOC Comm Total,40.0
PSU Commissioning,Apr-Aug'26,Udaipur,Class A,0
PSU Commissioning,Apr-Aug'26,Udaipur,Class B,0
PSU Commissioning,Apr-Aug'26,Udaipur,Class D1,1
PSU Commissioning,Apr-Aug'26,RSO,IOC RO,28
PSU Commissioning,Apr-Aug'26,RSO,IOC KSK,4
PSU Commissioning,Apr-Aug'26,RSO,IOC Total,32
PSU Commissioning,Apr-Aug'26,RSO,BPC RO,18
PSU Commissioning,Apr-Aug'26,RSO,BPC KSK,2
PSU Commissioning,Apr-Aug'26,RSO,BPC Total,20
PSU Commissioning,Apr-Aug'26,RSO,HPC RO,6
PSU Commissioning,Apr-Aug'26,RSO,HPC KSK,1
PSU Commissioning,Apr-Aug'26,RSO,HPC Total,7
PSU Commissioning,Apr-Aug'26,RSO,Total RO,52
PSU Commissioning,Apr-Aug'26,RSO,Total KSK,7
PSU Commissioning,Apr-Aug'26,RSO,Total Total,59
PSU Commissioning,Apr-Aug'26,RSO,%IOC Comm RO,53.8
PSU Commissioning,Apr-Aug'26,RSO,%IOC Comm KSK,57.1
PSU Commissioning,Apr-Aug'26,RSO,%IOC Comm Total,54.2
PSU Commissioning,Apr-Aug'26,RSO,Class A,0
PSU Commissioning,Apr-Aug'26,RSO,Class B,1
PSU Commissioning,Apr-Aug'26,RSO,Class D1,16
Sep 2026 Plan,,Ajmer,Target RO,4
Sep 2026 Plan,,Ajmer,Target KSK,0
Sep 2026 Plan,,Ajmer,Target Total,4
Sep 2026 Plan,,Ajmer,Target A,0
Sep 2026 Plan,,Ajmer,Target B,1
Sep 2026 Plan,,Ajmer,Target D1,1
Sep 2026 Plan,,Ajmer,DM NOC RO,2
Sep 2026 Plan,,Ajmer,DM NOC KSK,0
Sep 2026 Plan,,Ajmer,DM NOC Total,2
Sep 2026 Plan,,Jaipur,Target RO,5
Sep 2026 Plan,,Jaipur,Target KSK,1
Sep 2026 Plan,,Jaipur,Target Total,6
Sep 2026 Plan,,Jaipur,Target A,1
Sep 2026 Plan,,Jaipur,Target B,0
Sep 2026 Plan,,Jaipur,Target D1,2
Sep 2026 Plan,,Jaipur,DM NOC RO,1
Sep 2026 Plan,,Jaipur,DM NOC KSK,1
Sep 2026 Plan,,Jaipur,DM NOC Total,2
Sep 2026 Plan,,Jodhpur,Target RO,4
Sep 2026 Plan,,Jodhpur,Target KSK,0
Sep 2026 Plan,,Jodhpur,Target Total,4
Sep 2026 Plan,,Jodhpur,Target A,0
Sep 2026 Plan,,Jodhpur,Target B,0
Sep 2026 Plan,,Jodhpur,Target D1,1
Sep 2026 Plan,,Jodhpur,DM NOC RO,1
Sep 2026 Plan,,Jodhpur,DM NOC KSK,0
Sep 2026 Plan,,Jodhpur,DM NOC Total,1
Sep 2026 Plan,,Udaipur,Target RO,2
Sep 2026 Plan,,Udaipur,Target KSK,1
Sep 2026 Plan,,Udaipur,Target Total,3
Sep 2026 Plan,,Udaipur,Target A,0
Sep 2026 Plan,,Udaipur,Target B,0
Sep 2026 Plan,,Udaipur,Target D1,1
Sep 2026 Plan,,Udaipur,DM NOC RO,1
Sep 2026 Plan,,Udaipur,DM NOC KSK,0
Sep 2026 Plan,,Udaipur,DM NOC Total,1
Sep 2026 Plan,,RSO,Target RO,15
Sep 2026 Plan,,RSO,Target KSK,2
Sep 2026 Plan,,RSO,Target Total,17
Sep 2026 Plan,,RSO,Target A,1
Sep 2026 Plan,,RSO,Target B,1
Sep 2026 Plan,,RSO,Target D1,5
Sep 2026 Plan,,RSO,DM NOC RO,5
Sep 2026 Plan,,RSO,DM NOC KSK,1
Sep 2026 Plan,,RSO,DM NOC Total,6
Pending LOI — Ageing,,Ajmer,0-6 Months,8
Pending LOI — Ageing,,Ajmer,6M-1Y,9
Pending LOI — Ageing,,Ajmer,1Y-2Y,13
Pending LOI — Ageing,,Ajmer,2Y-3Y,79
Pending LOI — Ageing,,Ajmer,3-5Y,35
Pending LOI — Ageing,,Ajmer,5Y+,63
Pending LOI — Ageing,,Ajmer,Grand Total,207
Pending LOI — Ageing,,Jaipur,0-6 Months,12
Pending LOI — Ageing,,Jaipur,6M-1Y,25
Pending LOI — Ageing,,Jaipur,1Y-2Y,21
Pending LOI — Ageing,,Jaipur,2Y-3Y,82
Pending LOI — Ageing,,Jaipur,3-5Y,77
Pending LOI — Ageing,,Jaipur,5Y+,107
Pending LOI — Ageing,,Jaipur,Grand Total,324
Pending LOI — Ageing,,Jodhpur,0-6 Months,8
Pending LOI — Ageing,,Jodhpur,6M-1Y,13
Pending LOI — Ageing,,Jodhpur,1Y-2Y,11
Pending LOI — Ageing,,Jodhpur,2Y-3Y,58
Pending LOI — Ageing,,Jodhpur,3-5Y,11
Pending LOI — Ageing,,Jodhpur,5Y+,25
Pending LOI — Ageing,,Jodhpur,Grand Total,126
Pending LOI — Ageing,,Udaipur,0-6 Months,1
Pending LOI — Ageing,,Udaipur,6M-1Y,5
Pending LOI — Ageing,,Udaipur,1Y-2Y,14
Pending LOI — Ageing,,Udaipur,2Y-3Y,40
Pending LOI — Ageing,,Udaipur,3-5Y,19
Pending LOI — Ageing,,Udaipur,5Y+,68
Pending LOI — Ageing,,Udaipur,Grand Total,147
Pending LOI — Ageing,,RSO,0-6 Months,29
Pending LOI — Ageing,,RSO,6M-1Y,52
Pending LOI — Ageing,,RSO,1Y-2Y,59
Pending LOI — Ageing,,RSO,2Y-3Y,259
Pending LOI — Ageing,,RSO,3-5Y,142
Pending LOI — Ageing,,RSO,5Y+,263
Pending LOI — Ageing,,RSO,Grand Total,804
Pending LOI — By Class,,Ajmer,Class A,0
Pending LOI — By Class,,Ajmer,Class B,13
Pending LOI — By Class,,Ajmer,Class C,35
Pending LOI — By Class,,Ajmer,Class D1,56
Pending LOI — By Class,,Ajmer,Class D2,59
Pending LOI — By Class,,Ajmer,Class E,44
Pending LOI — By Class,,Ajmer,Grand Total,207
Pending LOI — By Class,,Jaipur,Class A,12
Pending LOI — By Class,,Jaipur,Class B,33
Pending LOI — By Class,,Jaipur,Class C,46
Pending LOI — By Class,,Jaipur,Class D1,58
Pending LOI — By Class,,Jaipur,Class D2,82
Pending LOI — By Class,,Jaipur,Class E,93
Pending LOI — By Class,,Jaipur,Grand Total,324
Pending LOI — By Class,,Jodhpur,Class A,0
Pending LOI — By Class,,Jodhpur,Class B,22
Pending LOI — By Class,,Jodhpur,Class C,7
Pending LOI — By Class,,Jodhpur,Class D1,36
Pending LOI — By Class,,Jodhpur,Class D2,32
Pending LOI — By Class,,Jodhpur,Class E,29
Pending LOI — By Class,,Jodhpur,Grand Total,126
Pending LOI — By Class,,Udaipur,Class A,0
Pending LOI — By Class,,Udaipur,Class B,9
Pending LOI — By Class,,Udaipur,Class C,43
Pending LOI — By Class,,Udaipur,Class D1,44
Pending LOI — By Class,,Udaipur,Class D2,16
Pending LOI — By Class,,Udaipur,Class E,35
Pending LOI — By Class,,Udaipur,Grand Total,147
Pending LOI — By Class,,RSO,Class A,12
Pending LOI — By Class,,RSO,Class B,77
Pending LOI — By Class,,RSO,Class C,131
Pending LOI — By Class,,RSO,Class D1,194
Pending LOI — By Class,,RSO,Class D2,189
Pending LOI — By Class,,RSO,Class E,201
Pending LOI — By Class,,RSO,Grand Total,804
NRO — Ageing Analysis,,Ajmer,YTS as on 01.09.26,4
NRO — Ageing Analysis,,Ajmer,0-3 Months,3
NRO — Ageing Analysis,,Ajmer,3-6 Months,1
NRO — Ageing Analysis,,Ajmer,6-12 Months,0
NRO — Ageing Analysis,,Ajmer,More than 1 Year,0
NRO — Ageing Analysis,,Jaipur,YTS as on 01.09.26,9
NRO — Ageing Analysis,,Jaipur,0-3 Months,4
NRO — Ageing Analysis,,Jaipur,3-6 Months,0
NRO — Ageing Analysis,,Jaipur,6-12 Months,5
NRO — Ageing Analysis,,Jaipur,More than 1 Year,0
NRO — Ageing Analysis,,Jodhpur,YTS as on 01.09.26,15
NRO — Ageing Analysis,,Jodhpur,0-3 Months,8
NRO — Ageing Analysis,,Jodhpur,3-6 Months,5
NRO — Ageing Analysis,,Jodhpur,6-12 Months,2
NRO — Ageing Analysis,,Jodhpur,More than 1 Year,0
NRO — Ageing Analysis,,Udaipur,YTS as on 01.09.26,8
NRO — Ageing Analysis,,Udaipur,0-3 Months,1
NRO — Ageing Analysis,,Udaipur,3-6 Months,3
NRO — Ageing Analysis,,Udaipur,6-12 Months,2
NRO — Ageing Analysis,,Udaipur,More than 1 Year,2
NRO — Ageing Analysis,,RSO,YTS as on 01.09.26,36
NRO — Ageing Analysis,,RSO,0-3 Months,16
NRO — Ageing Analysis,,RSO,3-6 Months,9
NRO — Ageing Analysis,,RSO,6-12 Months,9
NRO — Ageing Analysis,,RSO,More than 1 Year,2
NRO — Month-wise Commitment,,Ajmer,YTS as on 01.09.26,4
NRO — Month-wise Commitment,,Ajmer,Sep'26,2
NRO — Month-wise Commitment,,Ajmer,Oct'26,2
NRO — Month-wise Commitment,,Ajmer,Nov'26,0
NRO — Month-wise Commitment,,Ajmer,Dec'26,0
NRO — Month-wise Commitment,,Jaipur,YTS as on 01.09.26,9
NRO — Month-wise Commitment,,Jaipur,Sep'26,5
NRO — Month-wise Commitment,,Jaipur,Oct'26,2
NRO — Month-wise Commitment,,Jaipur,Nov'26,2
NRO — Month-wise Commitment,,Jaipur,Dec'26,0
NRO — Month-wise Commitment,,Jodhpur,YTS as on 01.09.26,15
NRO — Month-wise Commitment,,Jodhpur,Sep'26,4
NRO — Month-wise Commitment,,Jodhpur,Oct'26,10
NRO — Month-wise Commitment,,Jodhpur,Nov'26,1
NRO — Month-wise Commitment,,Jodhpur,Dec'26,0
NRO — Month-wise Commitment,,Udaipur,YTS as on 01.09.26,8
NRO — Month-wise Commitment,,Udaipur,Sep'26,2
NRO — Month-wise Commitment,,Udaipur,Oct'26,4
NRO — Month-wise Commitment,,Udaipur,Nov'26,2
NRO — Month-wise Commitment,,Udaipur,Dec'26,0
NRO — Month-wise Commitment,,RSO,YTS as on 01.09.26,36
NRO — Month-wise Commitment,,RSO,Sep'26,13
NRO — Month-wise Commitment,,RSO,Oct'26,18
NRO — Month-wise Commitment,,RSO,Nov'26,5
NRO — Month-wise Commitment,,RSO,Dec'26,0
NFR Facilities Status,,Ajmer,Facilities to be Updated,293
NFR Facilities Status,,Ajmer,Facility via HO Contracts,171
NFR Facilities Status,,Ajmer,Facility via SO Contracts,122
NFR Facilities Status,,Ajmer,SO Contracts Approved,119
NFR Facilities Status,,Ajmer,% Updation by SOs,97.5
NFR Facilities Status,,Ajmer,Revenue by SO (Lac),435.87
NFR Facilities Status,,Ajmer,Revenue by HO (Lac),403.67
NFR Facilities Status,,Ajmer,Total Revenue (Lac),840
NFR Facilities Status,,Jaipur,Facilities to be Updated,285
NFR Facilities Status,,Jaipur,Facility via HO Contracts,20
NFR Facilities Status,,Jaipur,Facility via SO Contracts,265
NFR Facilities Status,,Jaipur,SO Contracts Approved,261
NFR Facilities Status,,Jaipur,% Updation by SOs,98.5
NFR Facilities Status,,Jaipur,Revenue by SO (Lac),
NFR Facilities Status,,Jaipur,Revenue by HO (Lac),
NFR Facilities Status,,Jaipur,Total Revenue (Lac),
NFR Facilities Status,,Jodhpur,Facilities to be Updated,254
NFR Facilities Status,,Jodhpur,Facility via HO Contracts,0
NFR Facilities Status,,Jodhpur,Facility via SO Contracts,254
NFR Facilities Status,,Jodhpur,SO Contracts Approved,262
NFR Facilities Status,,Jodhpur,% Updation by SOs,100
NFR Facilities Status,,Jodhpur,Revenue by SO (Lac),
NFR Facilities Status,,Jodhpur,Revenue by HO (Lac),
NFR Facilities Status,,Jodhpur,Total Revenue (Lac),
NFR Facilities Status,,Udaipur,Facilities to be Updated,332
NFR Facilities Status,,Udaipur,Facility via HO Contracts,76
NFR Facilities Status,,Udaipur,Facility via SO Contracts,256
NFR Facilities Status,,Udaipur,SO Contracts Approved,254
NFR Facilities Status,,Udaipur,% Updation by SOs,99.2
NFR Facilities Status,,Udaipur,Revenue by SO (Lac),
NFR Facilities Status,,Udaipur,Revenue by HO (Lac),
NFR Facilities Status,,Udaipur,Total Revenue (Lac),
NFR Facilities Status,,RSO,Facilities to be Updated,1164
NFR Facilities Status,,RSO,Facility via HO Contracts,267
NFR Facilities Status,,RSO,Facility via SO Contracts,897
NFR Facilities Status,,RSO,SO Contracts Approved,896
NFR Facilities Status,,RSO,% Updation by SOs,99.09
NFR Facilities Status,,RSO,Revenue by SO (Lac),435.87
NFR Facilities Status,,RSO,Revenue by HO (Lac),403.67
NFR Facilities Status,,RSO,Total Revenue (Lac),840
EVCS Commissioning (FAME-II),,Ajmer,Target 2024-25,59
